CIC,ACNA,Entity,Assgnmt Dt,Contact,Phone,Street,City,State,Zip
0089,HDA,Hawaii Direct Telephone Company STS LLC,3/22/2012,Stephen Hon,808-441-5500,3375 Koapaka St.,Honolulu,HI,96819
0090,WES,"WesTel, Inc.",05/20/1983,Robb Milam,512-480-5500,12015 Park Thirty Five Circle Suite 1208,"Austin,",TX,78753
0092,SNT,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",,laura.r.dalton@verizon.com,,,,,
0093,ESU,"Essex Telcom, Inc.",6/11/2005,Donnie Dittmar,815-544-1744,2 East 3rd St.,"Sterling,",IL,61081
0094,RYV,"Troy Cablevision, Inc.",2/22/2008,Jimmy Copeland,334-566-3310,1006 So. Brundidge St.,Troy,AL,36081
0096,FLX,Citizens Communications,12/13/1995,Sheri M. Pressler,260-461-3475,6430 Oakbrook Pkwy.,Fort Wayne,IN,46825
0098,NTH,NETECH Comm. a US WEST Company,04/02/1985,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0099,ARZ,"Pac-West Telecomm, Inc. dba AmeriCall",12/04/1984,Jami Perez,209-926-3325,4217 Coronado Ave.,"Stockton,",CA,95204
0100,FNV,The Friend Network Services Inc.,02/28/2002,Michel Bays,416-494-4490 x243,1039 McNicoll Avenue,"Toronto, Ontario",CANADA,M1W 3W6
0101,IMD,"InterMetro Communications, Inc.",11/27/2005,Chris Fogel,805-433-8000,"2685 Park Center Dr., Bldg. A",Simi Valley,CA,93065
0103,OGA ,Convergia ,11/14/2003,Jr McClean,514-693-6300,237 Hymus Blvd.,"Montreal, Quebec",CANADA,H9R 5C7
0104,OGA,Convergia ,11/14/2003,Jr McClean,514-693-6300,237 Hymus Blvd.,"Montreal, Quebec",CANADA,H9R 5C7
0109,OGA,Convergia ,11/14/2003,Jr McClean,514-693-6300,237 Hymus Blvd.,"Montreal, Quebec",CANADA,H9R 5C7
0110,---,Tandem Access for Database Query,,800 Database,---,,,,
0111,RVT,SureWest Telephone,,Cat Baird,916-786-1619,P.O. Box 969,"Roseville,",CA,95678
0112,BSD,Business Discount Plan dba LD Discount Plan,07/20/1995,Craig Conrad,949-798-7040,"One World Trade Center, Suite 800","Long Beach,",CA,90831
0113,AKD,Ameritech Long Distance Services,01/03/1996,Joe Brozynski,414-283-0991,722 N. Broadway 04M275C,Milwaukee,WI,53202
0117,CVX,Cellnet Cellular Service,,---,---,---,---,---,---
0119,JEA,Jackson Energy Authority,10/25/2010,Ben Lovins,731-265-5736,250 North Highland Ave.,Jackson,TN,38301
0120,MFU,AMAFLA Telecom Inc.,04/23/2002,Luis Chumaceiro,305-679-9943 x31,"444 Brickell Ave., Suite 309","Miami,",FL,33131
0122,RCG,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",,laura.r.dalton@verizon.com,,,,,
0123,DVT,Americatel,07/20/1995,Aurora Ares,301-610-4339,"7361 Calhoun Pl., Suite 650",Rockville,MD,20855
0124,HTP,"Horry Telephone Long Distance, Inc.",4/28/1992,Jamie Ponder,843-369-8640,"P.O. Drawer 1820, 3480 Hwy. 701 N",Conway,SC,29526
0126,SBB,SBC Long Distance LLC dba AT&T Long Distance,,Joe Brozynski,414-283-0991,722 N Broadway 04M275C,Milwaukee,WI,53202
0127,IPV,"Integrated Path Communications, LLC",8/31/2011,Brian Shephard,518-325-1396,9030 State Route 22,Hillsdale,NY,12529
0130,CPO,CTC Communications Corp.,07/20/1995,Edward J. Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0131,FTM,"USP&C, Inc.",07/20/1995,Robert Garrison,---,"8800 Blue Ridge Blvd., Suite 300, P.O. Box 11660","Kansas City,",MO,64138
0132,AYG,"Alliance Group Services, Inc.",07/20/1995,Mary O'Keeffe,203-221-8700,"1221 Post Rd. East, #301","Westport,",CT,06880
0133,---,"MCI Communications Services, Inc. (wholly owned subsidiary of Verizon Business Global)",10/18/1985,laura.r.dalton@verizon.com,,,,,
0135,NOE,Network One,06/26/1992,---,---,---,---,---,---
0136,EAS,"Broadwing Communications, LLC",07/10/1992,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0137,RLQ,RCLEC,11/8/2013,Desiree Apodaca,720-863-7818,20 Davis Dr.,Belmont,CA,94402
0143,AWE,"Digital Network, Inc.",07/29/1992,Roland Valenzuela,805-899-1962 x1436,223 E. De La Guerra St.,"Santa Barbara,",CA,93101
0145,XNS,"Nexus Systems, Inc.",10/31/2014,Tommy Barbier,504-355-0608,363 Venable Lane,Monroe,LA,71203
0146,DFP,DFT Communications Corp.,12/31/2014,Wade Weatherlow,716-673-3091,40 Temple St.,Fredonia,NY,14063
0147,DES,"Windstream NuVox , Inc.",12/12/1992,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0151,PXE,"PhoneCo, L.P.",04/21/2003,Scott Lawrence,---,7900 John Carpenter Freeway,"Dallas,",TX,75247
0153,YGL,DoveTel Communications LLC,3/29/2007,Kyle Williamson,678-821-0500,1090A Pacific Ave.,Bremen,GA,30110
0157,DFP,DFT Communications Corp.,12/31/2014,Wade Weatherlow,716-673-3091,40 Temple St.,Fredonia,NY,14063
0168,NUI,Net Communications Corp.,5/7/2002,---,---,---,---,---,---
0169,DXI,DMR Communications Inc.,1/19/2009,Sage Major,714-338-8807,1841 Rainbow Dr.,Santa Ana,CA,92705
0170,IOR,"McLeodUSA Telecommunications Services, Inc.",,Chris Chase,918-419-3607,"15 East 5th St., Suite 1700",Tulsa,OK,74103
0172,IFA,"USP&C, Inc.",08/05/1996,Robert Garrison,---,"8800 Blue Ridge Blvd., Suite 300, P.O. Box 11660","Kansas City,",MO,64138
0175,GCZ,General Computer Services Inc. dba BeCruising Telecom,3/31/2014,Graciela Roig,786-326-9513,4179 E. 8 Ct.,Hialeah,FL,33013
0178,PDQ,PDQ Communications Source,6/18/1993,---,---,---,---,---,---
0179,JAC,"Cattcomm, LLC",10/27/2014,Andrew D. Metcalfe,877-857-2288,250 E. Penny Road,Wenatchee,WA,98801
0180,EIE,Elite Communications Inc.,03/11/2002,Michel Bays,416-494-4490 x243,200 Consumers Road,"North York, Ontario",CANADA,M2J 4R4
0182,LUM,Louisiana Competitive Telecommunications Inc.,10/19/2016,Kathy Cormier,337-652-6666,110 N. Irving Ave.,Kaplan,LA,70548
0183,WUA,MCImetro Access Transmission Services LLC,,godfrey.chisanga@verizon.com,,,,,
0187,BSL,BellSouth Long Distance,03/26/1993,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0188,SBX,MCIWorldCom,05/18/1988,laura.r.dalton@verizon.com,,,,,
0189,GSR,State of Texas - GSC,11/9/1992,Donna Gessner,---,1711 San Jacinto,Austin,TX,78701
0190,OBX,"Mobex, Inc.",7/10/2019,John G. Dalrymple,813-990-0996,"500 E. Kennedy Blvd., #300",Tampa,FL,33602
0191,SJS,"Saturn Telecommunication Services, Inc.",07/21/2003,Edward J. Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0193,QPN,"Prairie Networks, LLC",12/28/2010,Gail Pitzer,719-764-2578,38619 Monroe St.,Agate,CO,80101-0038
0194,ESI,"Easton Telecom Services, L.L.C.",12/27/1995,Robert Mocas,330-659-6700,"3046 Brecksville Rd., Summit II, Unit A","Richfield,",OH,44286-0550
0195,HIH,Highland Telephone Cooperative,4/8/2008,Ruth M. Newman,540-468-2131,"392 Potomac River Rd., P.O. Box 340",Monterey,VA,24465-0340
0197,CQG,Comanche County Long Distance,6/18/1993,Ron Ranson,254-893-7000,"6100 Hwy. 16, P.O. Box 349",DeLeon,TX,76444
0200,UWT,"Capsule Communications, Inc.",08/07/1991,Paul Forte,---,---,---,---,---
0202,ENW,"Global Crossing Telecommunications, Inc.",,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0203,CTQ,Cypress Telecommunications Corp. (Cytel),04/02/1985,Roger Scott,281-449-4000 x3030,3838 N. Sam Houston Pkwy. #400,"Houston,",TX,77032
0205,LST,Lone Star Telecom,10/08/1986,---,---,---,---,---,---
0210,NOZ,"NOS Communications, Inc. dba 011 Communications",,"Raymond A. Perea, Esq.",702-547-8980,"250 Pilot Road, Suite 300","Las Vegas,",NV,89119
0211,RTC,"Global Crossing North American Networks, Inc.",10/18/1989,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0212,DDD,D.D.D. Calling,06/27/2003,Jamal Lee,713-626-7460,"6300 Richmond Ave., Suite 304","Houston,",TX,77057
0213,LTS,Long Distance Telephone Savers,07/19/1984,Raymon A. Bobbitt,---,2025 13th Street  P.O. Box 1760,Ashland,KY,41105
0214,LKC,Consolidated Communications of Texas Company,11/18/1991,Chris B. Copenhaver,936-637-4434,321 N. First,Lufkin,TX,75902
0215,---,Dryden Municipal Telephone Service,10/11/2006,Laurie Bowie,519-850-5818,"100 Dundas Street, Floor 3","London, Ontario",CANADA,N6A 5B6
0216,AWQ,MetroLink,06/03/1994,---,---,---,---,---,---
0218,OMK,"Comlink, L.L.C.",8/9/2010,Carol M. Thelen,517-664-1900,"1515 Turf Lane, Suite 100",East Lansing,MI,48823
0220,TDD,"MCI Communications Services, Inc. (wholly owned subsidiary of Verizon Business Global LLC)",03/31/1987,laura.r.dalton@verizon.com,,,,,
0221,CPL,"Capital Telecommunications, Inc.",12/05/1989,---,---,---,---,---,---
0222,MCI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",10/18/1985,laura.r.dalton@verizon.com,,,,,
0223,PST,"Primus Telecommunications, Inc.",11/24/1986,Jeff Mellott,---,2094 185th St.,Fairfield,IA,52556
0224,AMU,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global)",12/04/1984,laura.r.dalton@verizon.com,,,,,
0225,IAS,"Iowa Network Services, Inc. dba Aureon Network Services, Inc. ",01/11/1989,Chris Davis,515-830-0408,7760 Office Plaza Drive South,West Des Moines,IA,50266
0226,ONE,One Call Communications,11/05/1985,---,---,---,---,---,---
0228,DAU,"Dial-Around Telecom, Inc.",04/15/2003,Mark J. Angell,---,"2637 E. Atlantic Blvd., Suite 242","Pompano Beach,",FL,33062
0229,DCJ,Dar Communications Corporation,7/30/2003,Jan Willem Bogert,702-221-1911,"Suite 300, 500 North Rainbow Blvd.","Las Vegas,",NV,89107
0230,---,Caztel Communications Inc.,03/12/2001,Nathalie Lacroix,418-455-5546,C.P. 425,"Sainte-Marie De Beauce, Quebec",CANADA,G6E 3B7
0231,NTT,"Global Crossing Telecommunications, Inc.",10/09/1985,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0232,SUR,"Global Crossing Telemanagement, Inc.",05/10/1984,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0233,DLT,"ITC DeltaCom Communications, Inc.",09/07/1983,Edward J. Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0234,ACT,ACC Long Distance Corporation,03/31/1987,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0236,QWD,"CenturyLink Communications, LLC",05/18/1988,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0239,AZU,MCImetro Access Transmission Services LLC,05/21/1993,godfrey.chisanga@verizon.com,,,,,
0241,ALG,American Long Lines,11/14/1986,Jennifer Marino,856-380-7145,6000 Irwin Rd.,Mt. Laurel,NJ,08054
0242,SKL,Sasktel,07/08/1993,Judy Kachuik,306-777-2199,"2121 Saskatchewan Drive, 8th Floor","Regina, Saskatchewan",CANADA,S4P 2Z2
0244,BUN,"UCN, Inc.",04/17/1987,Provisioning Dept.,800-538-0920,"7730 S. Union Park Ave., Suite 500",Midvale,UT,84047
0247,---,Rogers Communications Partnership (RCP),5/1/2004,Sheila Tan,416-935-8140,350 Bloor Street East,"Toronto, Ontario",CANADA,M4W 0A1
0248,XME,"Mosaic Networx, LLC",3/18/2011,Frances Hill,415-813-3841,474 Las Galinas Ave.,San Rafael,CA,94903
0249,PMG,"PSP Marketing Group, Inc.",,---,---,"1801 Hillyer Robinson Industrial Pkwy., Suite C",Anniston,AL,36207
0250,DBL,Distributel Communications Ltd.?,07/11/2003,Don Cavanagh,613-237-7055,"Floor 3, 177 Nepean Street","Ottawa, Ontario",CANADA,K2P 0B4
0253,LTL,"CenturyLink Communications, LLC",05/18/1988,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0254,TVY,City of Thomasville,8/12/2005,Maurice Parramore,229-227-4141,111 Victoria Pl.,Thomasville,GA,31792
0255,XCY,"CMN-RUS, Inc. ",4/4/2011,Amber Goulet,812-213-1066,3701 Communications Way,Evansville,IN,47715
0256,---,ALO Telecom Inc.,9/22/2006,Michel Bays,416-494-4490 x243,1039 McNicoll Avenue,"Toronto, Ontario",CANADA,M1W 3W6
0264,MEN,"Onvoy, LLC",10/15/1991,Bryan Bethea,312-380-4549,"550 W. Adams St., Suite 900",Chicago,IL,60661
0265,COJ,"First Communications, LLC",8/12/2004,Jorge Rodriguez,630-812-6395,3340 W. Market St.,Akron,OH,44333
0266,STE,"ILD Telecommunications, Inc.",08/20/1999,Greg Hall,---,"16200 Addison Rd., Suite 180",Addison,TX,75001
0268,CUT,"TEC of Jackson, Inc.",03/29/1990,Lisa Wigington,601-354-9070,"236 E Capitol St., Floor 5","Jackson,",MS,39201
0269,TXZ,TEL AMERICA L.D.T.S.,06/10/1991,---,---,---,---,---,---
0270,CHY,Cherry Communications,02/20/1993,Jo Ann Vaitenas,---,---,---,---,---
0272,PJC,"Bell Atlantic Communications, Inc.",,laura r.dalton@verizon.com,,,,,
0273,---,"CoopTel, coop de telecommunication",10/13/2006,Mario Beaudoin,450-532-5656,5521 Chemin de l'Aeroport,"Valcourt, Quebec",CANADA,J0E 2L0
0275,VDT,"Fiirst Communications, LLC",03/02/1994,Jorge Rodriguez,630-812-6395,3340 W. Market St.,Akron,OH,44333
0278,AJH,Affinity Network Incorporated,6/9/2004,Raymond A. Perea,702-547-8980,"250 Pilot Road, Suite 300",Las Vegas,NV,89119
0279,ASN,Associated Telenet Inc./ A CTI Company,10/24/1988,Daniel Dumler,---,---,---,---,---
0280,LGX,Legent Communications Corporation,02/20/1993,Sherman Beard,949-753-7000 x201,"8001 Irvine Center Dr., Suite 1140","Irvine,",CA,92618
0282,ATC,NTS Communications Inc.,04/02/1985,Bernadette Y. Drumma,806-771-4701,1220 Broadway,Lubbock,TX,79401
0283,SOI,Iowa Communications Network,08/14/1992,Michael Holzapfel,515-725-4669,400 E. 14th St.,Des Moines,IA,50319
0284,AVU,"AmeriVision Communications, Inc. dba Lifeline Communications",07/20/1995,Denise Thomson,757-227-6052,2037 Laskin Rd.,Virginia Beach,VA,23454
0285,FVT,"FranklinVT, LLC",07/25/2003,Kimberly Gates Maynard,802-285-9911,"P.O. Box 96, 5217 Main St.","Franklin,",VT,05457
0286,CTO,"Broadwing Communications, LLC",11/28/1984,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0287,AWX,Qwest Communications,3/9/1994,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0288,ATX,AT&T Corp.,05/20/1987,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0289,DWW,"Dial Worldwide Communications, Inc.",10/30/2002,John K. Mertz,---,26760 Adams Rd.,"Los Gatos,",CA,95033
0290,TOR,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",,laura.r.dalton@verizon.com,,,,,
0292,TPM,Teleport Communications Group Inc. (Wholly Owned Subsidiary of AT&T),,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0293,LSP,"Broadwing Communications, LLC",02/08/1988,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0295,GFS,Glens Falls Long Distance Service,01/30/1987,---,518-862-9600,---,---,---,---
0297,VRT,VarTec,,"Michael G. Hoffman, Esq.",972-478-3300,2440 Marsh Lane,Carrollton,TX,75006
0300,DAU,"Dial-Around Telecom, Inc.",04/30/2003,Mark J. Angell,---,"2637 E. Atlantic Blvd., Suite 242","Pompano Beach,",FL,33062
0302,ABN,Austin Bestline,11/19/1986,Rob Milani,512-328-9095,"500 Capital of Texas Hwy North, Bldg.8 (200)",Austin,TX,78746
0303,TPM,Teleport Communications Group Inc. (subsid. of AT&T),4/18/1989,Teresa Y. Jernigan,501-373-0047,"1111 West Capitol, Rm. 525",Little Rock,AR,72201
0304,HSR,"Head Start Telecom, Inc.",2/28/2009,Scott Cathey,405-533-3957,"6601 Broadway Extension, Suite 110",Oklahoma City,OK,73034
0305,YMU,"Morristown Utilities Commission dba Morristown Utilities System, Morristown Utility System FiberNet",9/26/14,Brian Doggett,423-307-3739,441 W. Main St.,Morristown,TN,37814
0307,WUS,"Zayo Group, LLC",10/26/2005,David Roberts,303-381-3300,"8101 E. Prentice Ave., Suite 600",Englewood,CO,80111
0308,LKC,Consolidated Communications of Texas Company,12/07/1988,Chris B. Copenhaver,936-637-4434,321 N. First,Lufkin,TX,75902
0309,BXT,Bixby Telephone Long Distance Co.,9/30/2004,Scott Lowry,918-366-0250,6 East Breckenridge,Bixby,OK,74008
0310,MJV,"McBlue Telecom, Inc.",03/13/2002,Jorge V. Aoki,213-943-1619,"28720 Roadside Dr., Suite 335",Agoura Hills,CA,91301
0311,ANW,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/21/1984,laura.r.dalton@verizon.com,,,,,
0314,MWZ,"AT&T Wireless Services, Inc.",3/2/1994,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0316,GWS,"Gateway Communications Services, Inc.",8/29/2006,Gilbert Smith,703-770-6824,"8200 Greensboro Dr., Suite 503",McLean,VA,22102
0317,XPT,"Xfone USA, Inc.",09/05/2003,Bernadette Y. Drumma,806-771-4701,1220 Broadway,Lubbock,TX,79401
0319,CQO,ConQuest Operator Services Corp.,11/21/1988,---,---,---,---,---,----
0320,---,Caztel Communications Inc.,01/31/2001,Nathalie Lacroix,418-455-5546,C.P. 425,"Sainte-Marie De Beauce, Quebec",CANADA,G6E 3B7
0321,SLS,MCImetro Access Transmission Services LLC,05/14/1987,godfrey.chisanga@verizon.com,,,,,
0322,ASI,"Global Crossing Telecommunications, Inc.",10/14/1983,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
