CIC,ACNA,Entity,Assgnmt Dt,Contact,Phone,Street,City,State,Zip
0650,UTA,"OAN Services, Inc.",12/31/2010,Amy Atkins,210-949-7130,"7411 John Smith Dr., Suite 1500",San Antonio,TX,78220
0693,DLX,Deluxe Data Systems Inc.,04/08/1991,T.A. Weinzierl,---,"400 West Deluxe Parkway,  P.O. Box 12536","Glendale,",WI,53212-0536
0741,CDD,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/26/1990,laura.r.dalton@verizon.com,,,,,
0752,EXL,Excel Telecommunications Inc,,Dan Martignon,214-705-5550,P.O. Box 650582,Dallas,TX,75265-0582
0756,XZP,Zero Plus,10/22/1986,Amy Atkins,210-949-7130,"7411 John Smith Dr., Suite 1500",San Antonio,TX,78229
0761,MBK,Mellon Bank N.A.,04/16/1992,John Grego,412-234-4807,"Mellon Bank Center, Room 154-0568",Pittsburgh,PA,15259-0001
0770,VUS,Vital Processing Services,03/15/1989,Gene Walter,---,8320 South Hardy Dr.,"Tempe,",AZ,85284
0789,MIC,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",2/26/1990,laura.r.dalton@verizon.com,,,,,
0835,TDD,Telecom*USA [MCI],03/31/1987,laura.r.dalton@verizon.com,,,,,
0882,HOL,Home Owners Long Distance Inc.,12/31/2010,Amy Atkins,210-949-7130,"7411 John Smith Drive, Suite 1500",San Antonio,TX,78229
0937,AMM,McLeodUSA,,Chris Chase,918-419-3607,"15 East 5th St., Suite 1700",Tulsa,OK,74103
0985,FNR,fONOROLA Corporation,08/08/1991,David R. MacKinnon,914-631-3666,"303 South Broadway, Suite 440","Tarrytown,",NY,10591
0990,VUS,Vital Processing Services,03/15/1989,Gene Walter,---,8320 South Hardy Dr.,"Tempe,",AZ,85284
1001,MAL,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",12/29/1986,laura.r.dalton@verizon.com,,,,,
1003,RTC,"Global Crossing North American Networks, Inc.",10/18/1989,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1006,ALU,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",11/09/1983,laura.r.dalton@verizon.com,,,,,
1007,TAM,TelaMarketing Communications Inc.,10/06/1983,---,---,215 So. State St. 10th Flr. Bx 510830,Salt Lake City,UT,84151
1008,TFB,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",11/28/1984,laura.r.dalton@verizon.com,,,,,
1011,MTD,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",04/14/1986,laura.r.dalton@verizon.com,,,,,
1021,MEC,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",06/08/1983,laura.r.dalton@verizon.com,,,,,
1022,MCI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",10/18/1985,laura.r.dalton@verizon.com,,,,,
1031,TET,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/26/1990,laura.r.dalton@verizon.com,,,,,
1036,LSI,MCImetro Access Transmission Services LLC,6/13/1986,godfrey.chisanga@verizon.com,,,,,
1044,ALN,"Global Crossing Telecommunications, Inc.",05/07/1986,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1052,WCU,"Global Crossing Bandwidth, Inc.",10/23/1989,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1055,WTL,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",03/10/1983,laura.r.dalton@verizon.com,,,,,
1066,ALN,"Global Crossing Telecommunications, Inc.",02/26/1987,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1082,TRI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",2/26/1990,laura.r.dalton@verizon.com,,,,,
1084,LDS,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",4/14/1986,laura.r.dalton@verizon.com,,,,,
1087,SNT,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/14/1987,laura.r.dalton@verizon.com,,,,,
1088,MCJ,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/18/1988,laura.r.dalton@verizon.com,,,,,
1092,MCI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/14/1987,laura.r.dalton@verizon.com,,,,,
1094,MAG,MagCARD Services Inc.,12/11/1992,---,---,---,---,---,---
1099,ARZ,"Pac-West Telecomm, Inc. dba AmeriCall",12/04/1984,Jami Perez,209-926-3325,4217 Coronado Ave.,Stockton,CA,95204
1122,RCG,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",11/28/1984,laura.r.dalton@verizon.com,,,,,
1183,TDD,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",,laura.r.dalton@verizon.com,,,,,
1188,SBX,MCIWorldCom,,laura.r.dalton@verizon.com,,,,,
1195,GSD,Gascard,02/05/1993,Andre M. Hansen,619-431-3200x106,2720 Loker Avenue West  Ste. G,Carlsbad,CA,92008
1222,MCI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",10/18/1985,laura.r.dalton@verizon.com,,,,,
1234,ACT,ACC Long Distance Corporation,03/31/1987,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
1261,ARZ,"Pac-West Telecomm, Inc. dba AmeriCall",12/04/1984,Jami Perez,209-926-3325,4217 Coronado Ave.,Stockton,CA,95204
1268,CUT,"TEC of Jackson, Inc.",6/16/1987,Lisa Wigington,601-354-9070,"236 E Capitol St., Floor 5",Jackson,MS,39201
1279,ASN,Associated Telenet Inc./ A CTI Company,10/24/1988,Daniel Dumler,---,96 South George St.,York,PA,17401
1281,BYP,Buypass ,06/24/1991,Donald Murtaugh,----,1100 Carr Rd.,Wilmington,DE,19809
1288,ATX,AT&T Corp.,05/20/1987,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
1292,CEB,Card Establishment Services,12/8/1987,Eric Stormo,---,---,---,---,---
1318,LSI,MCImetro Access Transmission Services LLC,6/13/1986,godfrey.chisanga@verizon.com,,,,,
1321,SLS,MCImetro Access Transmission Services LLC,05/14/1987,godfrey.chisanga@verizon.com,,,,,
1324,FST,"First Data Resources, Inc. (FST)",7/10/1985,Lon Olson,---,7302 Pacific Street,"Omaha,",NE,68114
1332,NRD,Northland Telephone Systems LTD.,04/29/1985,Larry Combs,315-624-2025,317 Court St.,Utica,NY,13502
1353,TNO,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/26/1989,laura.r.dalton@verizon.com,,,,,
1372,ELE,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",4/2/1985,laura.r.dalton@verizon.com,,,,,
1382,LGM,"Long Distance Management, Inc.",10/09/1992,---,---,---,---,---,---
1391,ONI,OMNICALL COMMUNICATIONS CORPORATION,04/28/1992,---,---,---,---,---,---
1392,MBO,Mobil Oil Credit Corp.,,Terry Keuker,703-742-0500,11300 Corporate Avenue,Lenexa,KS,66219
1407,CSY,WorldCom Inc.,5/31/1990,laura.r.dalton@verizon.com,,,,,
1411,ARE,American Express Travel Related Services,04/04/1986,Steve Jones,602-766-2554,19640 N. 31st Ave.,"Phoenix,",AZ,85027
1434,GEI,General Electric Information Services,02/24/1988,R. E. Kaiser,---,---,---,---,---
1444,ALN,"Global Crossing Telecommunications, Inc.",05/07/1986,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1450,LDD,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",04/02/1985,laura.r.dalton@verizon.com,,,,,
1453,LDD,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",04/02/1985,laura.r.dalton@verizon.com,,,,,
1457,TEX,Trace Communications,05/09/1986,---,---,---,---,---,---
1464,WTL,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/28/1986,laura.r.dalton@verizon.com,,,,,
1482,TEI,"Tele-Sys, Inc.",11/28/1984,Curtis S. Jamison,865-482-2140,673 Emory Valley Road,Oak Ridge,TN,37830
1492,CEB,Card Establishment Services,12/8/1987,Eric Stormo,---,---,---,---,---
1500,SCH,"Global Crossing Telemanagement, Inc.",05/10/1984,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1532,TET,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/26/1990,laura.r.dalton@verizon.com,,,,,
1546,ADG,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/07/1986,laura.r.dalton@verizon.com,,,,,
1555,WTL,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",03/10/1983,laura.r.dalton@verizon.com,,,,,
1569,WCU,"Global Crossing Bandwidth, Inc.",10/23/1989,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1591,ATF,Santa Fe Railway,06/19/1992,Tom Bishop,913-551-4678,4515 Kansas Ave.,Kansas City,KS,66106
1604,SBY,"Global Crossing Bandwidth, Inc.",10/23/1989,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1614,UNL,"Broadwing Communications, LLC",10/05/1990,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1620,TEY,"TeleMoney Services, a First Data Corporation",01/23/1992,---,---,---,---,---,---
1622,GCP,MedE America,11/19/1992,Robert B. Hayes,---,2045 Midway Drive,Twinsburg,OH,44087
1628,TET,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/26/1990,laura.r.dalton@verizon.com,,,,,
1631,LMI,Long Distance of Michigan dba LDMI Telecommunications,06/19/1990,Thomas Vandeveer,313-873-5500,8801 Conant Street,"Hamtramck,",MI,48211
1632,GPY,Global Payments Inc.,7/14/1987,Mike Reidenback,770-829-8010,"10 Glenlake Parkway, North Tower","Atlanta,",GA,30328
1633,AVZ,"Global Crossing Telecommunications, Inc.",03/08/1990,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
1648,WHG,Winstar Communications LLC,01/11/1991,Pat Gartner,---,520 Broad St.,Newark,NJ,07102
1655,MLW,"Merchant-Link, Inc.",12/31/1991,Jay Konar,301-562-5136,"8401 Colesville Rd., Suite 900",Silver Spring,MD,20910
1662,RTY, Resource Technology Services Inc.,07/01/1991,---,---,---,---,---,---
1671,GAR,"GTA Services, LLC",11/20/2005,Lucille McIntosh,671-644-1660,624 North Marine Corps Dr.,Tamuning,GUAM,96913
1692,CEB,Card Establishment Services,12/8/1987,Eric Stormo,---,---,---,---,---
1696,LIA,"Alliance Data Systems, Inc.",10/16/1991,Sharon Bitter,972-643-4043,17657 Waterview Parkway,Dallas,TX,75252
1703,KSN,Keystone Telecommunications  Inc.,04/18/1989,Fred Lauver,---,2690 Commerce Dr.,"Harrisburg,",PA,17110
1716,CPQ,COMPUSERVE,04/24/1991,Ms. Merlyn J. Ruffin,614-718-2800,5000 Arlington Centre Blvd. PO Box 20212,Columbus,OH,43220
1718,TPM,Teleport Communications Group Inc. (Wholly Owned Subsidiary of AT&T),10/19/1987,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
1725,IOR,"McLeodUSA Telecommunications Services, Inc.",11/06/1989,Chris Chase,918-419-3607,"15 East 5th St., Suite 1700",Tulsa,OK,74103
1732,ATX,AT&T Corp.,05/20/1987,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
1734,NLD,National Data Corporation,4/13/1999,William C. Barker,---,NDC Plaza,"Atlanta,",GA,30329-2010
1754,ALC,AT&T Global Network Services (AGNS),12/05/1989,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
1755,ALC,AT&T Global Network Services (AGNS),12/05/1989,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
1764,ROA,Roanoke Telephone Co. Inc.,,Lisa Wigington,601-354-9070,236 E. Capitol St.,Jackson,MS,39201
1771,TEM,MCImetro Access Transmission Services LLC,05/14/1987,godfrey.chisanga@verizon.com,,,,,
1772,ALC,AT&T Global Network Services (AGNS),12/05/1989,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
1778,SHW,"Communigroup Of K.C., Inc.",04/13/1999,Monica Skinner,---,6950 W. 56th Street,"Mission,",KS,66202
1780,MXT,Matrix Telecom,2/14/1992,Jill M. Smith,214-254-3857,433 Las Colinas Blvd E Suite 500,Irving,TX,75039
1809,EVY,Envoy Corp.,05/24/1991,---,---,---,---,---,---
1830,PSV,Public Service Company of NM,8/6/1993,Stuart Grimes,505-848-2858,Alvarado Square,Albuquerque,NM,87158
1834,GPY,Global Payments Inc.,4/13/1999,Mike Reidenback,770-829-8010,"10 Glenlake Parkway, North Tower","Atlanta,",GA,30328
1841,FFM,First Financial Management Corp.,04/10/1990,Stephen L. Dearman,---,---,---,---,---
1852,SNT,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/14/1987,laura.r.dalton@verizon.com,,,,,
1862,TSF,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",,laura.r.dalton@verizon.com,,,,,
1864,TZT,Paymentech,05/24/1991,Mike Oliver,813-354-4290,4200 W. Cypress St.,"Tampa,",FL,33607
1874,TIQ,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",12/10/1986,laura.r.dalton@verizon.com,,,,,
1875,UOR,U.S. Order,05/24/1991,---,---,---,---,---,---
1910,TOM,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/07/1986,laura.r.dalton@verizon.com,,,,,
1915,TTH,Tele Tech Inc.,11/25/1965,---,---,---,---,---,---
1918,CBA,"MCI Communications Services,  Inc. (wholly owned sub. of Verizon Business Global LLC)",01/17/1990,laura.r.dalton@verizon.com,,,,,
1921,ANI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/26/1990,laura.r.dalton@verizon.com,,,,,
1933,NAC,"Windstream D&E Systems, Inc.",05/07/1986,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
1946,WIN,"RSL COM U.S.A., Inc.",02/26/1987,David Parries,---,---,---,---,---
1950,UYT,"Utility Telecom Group, LLC",12/21/2011,Kelly L. Stewart,209-949-4016,4202 Coronado Ave.,Stockton,CA,95204
1964,AMT,AMERITEL LONG DISTANCE FOR LESS,11/14/1990,Russ Hagan,---,---,---,---,---
1986,MCI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",10/18/1985,laura.r.dalton@verizon.com,,,,,
1991,AMM,McLeodUSA,,Chris Chase,918-419-3607,"15 East 5th St., Suite 1700",Tulsa,OK,74103
1992,ABE,A.B.E. of Alabama Inc. dba ECONOLINE,11/19/1986,---,---,---,---,---,---
1997,GNM,Gas Company of New Mexico,8/26/1993,Stuart Grimes,505-848-2700,Alvarado Square,Albuquerque,NM,87158
1998,CGI,"TEC of Jackson, Inc.",3/29/1990,Lisa Wigington,601-354-9070,"236 E Capitol St., Floor 5",Jackson,MS,39201
1999,SNC,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",5/17/1983,laura.r.dalton@verizon.com,,,,,
5032,CDX,Valuline Long Distance,,Melvin Reams,505-271-9008,"9301 Indian School Rd. NE, Suite 201, P.O. Box 21098",Albuquerque,NM,87154-1098
5047,NYC,Bell Atlantic Communications,,laura.r.dalton@verizon.com,,,,,
5048,NYC,Bell Atlantic Communications,,laura.r.dalton@verizon.com,,,,,
5056,PCI,PCI,04/29/1997,John Day,671-477-2244,135 Chalan Santo Papa,Agana,GUAM,96910
5057,PCI,PCI,04/29/1997,John Day,671-477-2244,135 Chalan Santo Papa,Agana,GUAM,96910
5058,PCI,PCI,04/29/1997,John Day,671-477-2244,135 Chalan Santo Papa,Agana,GUAM,96910
5059,PCI,PCI,04/29/1997,John Day,671-477-2244,135 Chalan Santo Papa,Agana,GUAM,96910
5063,BSL,BellSouth Long Distance ,,Charles Martin,770-352-3249,28 Perimeter Center East,"Atlanta,",GA,30346
5078,CGZ,"Affinity Telecom, Inc. t/a C-COM",6/28/2002,Gary A. Garrison,303-938-1417,"4745 Walnut St., Suite 300","Boulder,",CO,80301
5083,EVY,Envoy Corporation,07/26/1995,David Westhorp,---,Two Lakeview Place  15 Century Blvd.,Nashville,TN,37214
5085,UFC,United Refining Company,07/20/1995,Donald Sobina,---,213 2nd Ave.,Warren,PA,16365
5089,EVY,Envoy Corporation,07/26/1995,David Westhorp,---,Two Lakeview Place  15 Century Blvd.,Nashville,TN,37214
5105,PSV,Public Service Company of NM,,Stuart Grimes,505-848-2858,Alvarado Square,Albuquerque,NM,87158
5106,NYL,New York Lottery,,---,---,"One Broadway Center, P.O. Box 7500",Schenectady,NY,12301-7500
5119,TQW,"XO Communications, Inc.",03/15/1996,Lee R. Churchill,703-547-2808,13865 Sunrise Valley Dr.,Herndon,VA,20171
5148,GNK,GT Group Telecom Services Corp.,06/30/1999,Laurie Bowie,519-850-5818,100 Dundas Street Floor 3G,"London, Ontario",CANADA,N6A 5B6
5150,UYT,"Utility Telecom Group, LLC",12/21/2011,Kelly L. Stewart,209-949-4016,4202 Coronado Ave.,Stockton,CA,95204
5174,SES,Southeast Switch,,Karin Huddleston,---,"2600 Lake Lucien Dr., Ste. 109",Maitland,FL,32751-7232
5175,GRS,"Grocers Supply Company, Inc.",7/16/1993,John Frank,713-749-9300,3131 E. Holcomb Blvd.,"Houston,",TX,77021-2199
5192,RDN,Retail Data Networks (RDN),10/14/1993,Nancy Jordan,---,2113 Fairwood Lane,Atlanta,GA,30345
5194,RDN,Retail Data Networks (RDN),10/14/1993,Nancy Jordan,---,2113 Fairwood Lane,Atlanta,GA,30345
5213,TRK,"Texaco Refining and Marketing, Inc.",05/21/1993,Karin Hiddleston,---,P.O. Box 430,Bellaire,TX,77402-0430
5214,VPS,"Vital Processing Services, L.L.C.",08/26/1997,Dan DeBraal,480-333-7674,8320 S. Hardy Dr.,Tempe,AZ,85284
5222,FFM,First Financial Management Corp.,,Steven Dearman,---,---,---,---,---
5247,GPY,Global Payments Inc.,12/21/1987,Mike Reidenbach,770-829-8010,"10 Glenlake Pkwy., North Tower","Atlanta,",GA,30328
5254,FTU,First USA,09/29/1994,---,---,---,---,---,---
5268,VSJ,"Communigroup of K.C., Inc.",10/21/1996,Monica Skinner,---,6950 W. 56th St.,"Mission,",KS,66202
5305,MSY,"Morgan Stanley, Dean Witter, Discover & Co.",02/23/1998,Bill Kabat,224-405-1583,2500 Lake Cook Rd.,"Riverwoods,",IL,60015
5322,LIA,"Alliance Data Systems, Inc.",12/28/1999,Sharon Bitter,972-643-4043,17657 Waterview Parkway,"Dallas,",TX,75252
5324,LIA,"Alliance Data Systems, Inc.",12/28/1999,Sharon Bitter,972-643-4043,17657 Waterview Parkway,"Dallas,",TX,75252
5340,DLX,Deluxe Data Systems Inc.,,T.A. Weinzierl,---,"400 West Deluxe Parkway,  P.O. Box 12536","Glendale,",WI,53212-0536
5347,GPY,Global Payments Inc.,,Mike Reidenbach,770-829-8010,"10 Glenlake Pkwy., North Tower","Atlanta,",GA,30328
5359,DLX,Deluxe Data Systems Inc.,,T.A. Weinzierl,---,"400 West Deluxe Parkway,  P.O. Box 12536","Glendale,",WI,53212-0536
5395,POS,Harmonic Systems Incorporated,05/06/1993,---,---,---,---,---,---
5396,POS,Harmonic Systems Incorporated,05/06/1993,---,---,---,---,---,---
5398,POS,Harmonic Systems Incorporated,05/06/1993,---,---,---,---,---,---
5399,POS,Harmonic Systems Incorporated,5/6/1993,---,---,---,---,---,---
5405,TZT,Paymentech,08/11/1999,Mike Oliver,813-354-4290,4200 W. Cypress St.,"Tampa,",FL,33607
5415,GMG,"Docomo Pacific, Inc. ",11/30/1998,Sean Miles,671-969-4093,"219 S. Marine Dr., #206","Tamuning,",Guam,96931
5424,ICH,Intellicall,05/10/1996,---,---,---,---,---,---
5432,CGY,Excel Telecommunications Inc,,Dan Martignon,214-705-5550,P.O. Box 650582,Dallas,TX,75265-0582
5475,IOX,"Birch Telecom, Inc.",,---,---,---,---,---,---
5533,---,Maskatel Inc.,05/14/1998,Normand Ouellet,450-250-7111,3455 Av. Choquette,"Sainte-Hyacinthe, Quebec",CANADA,J2S 7Z8
5545,FFM,First Financial Management Corp.,,Steven Dearman,---,---,---,---,---
5550,RVI,"San Carlos Telecom, Inc. dba Creative Interconnect Telecom",01/23/1998,Bill Wilde,650-592-6729,"555 Old County Rd., Suite 107","San Carlos,",CA,94070
5555,GAR,"GTA Services, LLC",11/20/2005,Lucille McIntosh,671-644-1660,624 North Marine Corps Dr.,Tamuning,GUAM,96913
5559,CPV,"Cooperative Communications, Inc.",,"Louis Lombardi, Sr.",800-833-2700,412 Washington Avenue,Belleville,NJ,07104
5588,IEO,"PTI Pacifica, Inc.",03/20/1997,James Q. Calderwood,670-682-2501,P.O. Box 500306,Saipan,MP,96950
5624,GPY,Global Payments Inc.,12/21/1987,Mike Reidenbach,770-829-8010,"10 Glenlake Pkwy., North Tower","Atlanta,",GA,30328
5654,GPY,Global Payments Inc.,,Mike Reidenbach,770-829-8010,"10 Glenlake Pkwy., North Tower","Atlanta,",GA,30328
5666,FFM,First Financial Management Corp.,04/10/1990,Stephen L. Dearman,---,---,---,---,---
5693,DLX,Deluxe Data Systems Inc.,04/08/1991,T.A. Weinzierl,---,"400 West Deluxe Parkway,  P.O. Box 12536","Glendale,",WI,53212-0536
5724,PCI,PCI,04/29/1997,John Day,671-477-2244,135 Chalan Santo Papa,Agana,GUAM,96910
5759,REM,Valuline Long Distance,02/28/1996,Melvin Reams,505-271-9008,"9301 Indian School Rd. NE, Suite 201, P.O. Box 21098",Albuquerque,NM,87154-1098
5768,IEO,"PTI Pacifica, Inc.",11/21/2018,James Q. Calderwood,670-682-2501,P.O. Box 500306,Saipan,MP,96950
5778,AKU,Arco Pay Point,,---,---,---,---,---,---
5800,EVY,Envoy Corporation,07/26/1995,David Westhorp,---,Two Lakeview Place  15 Century Blvd.,Nashville,TN,37214
5832,CKV,CrossCheck,12/19/1996,Ken Royce,707-586-0551x1100,6119 State Farm Dr.,Rohnert Park,CA,94928-2146
5888,FFM,First Financial Management Corp.,04/10/1990,Stephen L. Dearman,---,---,---,---,---
5950,UYT,"Utility Telecom Group, LLC",12/21/2011,Kelly L. Stewart,209-949-4016,4202 Coronado Ave.,Stockton,CA,95204
5953,LYS,"Lynk Systems, Inc.",07/20/1995,Charles Mann,404-396-1616,600 Morgan Falls Road,Atlanta,GA,30350
5999,DLX,Deluxe Data Systems Inc.,04/08/1991,T.A. Weinzierl,---,"400 West Deluxe Parkway,  P.O. Box 12536","Glendale,",WI,53212-0536
